name	country	dob	pob	height	hometown	occupation	hobbies	start_career	club_name	coach	choreographer	former_coach	practice_on_ice_low_season	low_season_practice_place	practice_on_ice_high_season	high_season_practice_place	html	first_name	last_name
Mark HANRETTY	GBR	1985-03-21	Glasgow	180	Erskine	part time skating coach	psychology, cooking	1995	East Kilbride	Diane C. Dewar	Diane C. Dewar	John Christie	20	Edinburgh and East Kilbride	20	Edinburgh and East Kilbride	http://www.isuresults.com/bios/isufs00006654.htm	Mark	HANRETTY
Phillip HARRIS	GBR	1989-09-29	Blackpool	170	Coventry	coach	cooking	2000	ISS Coventry	Juri Bureiko, Marina Serova	Juri Bureiko	Samantha Leyden-Keith	23	Coventry	22	Coventry	http://www.isuresults.com/bios/isufs00011988.htm	Phillip	HARRIS
Elliot HILTON	GBR	1989-11-22	Preston	NA	Nottingham	student	guitar, music	1998	ISS Coventry	Juri Bureiko, Marina Serova	Juri Bureiko	Joy Sutcliffe, Karen Fletcher, Steven Pitavance	13	Coventry	15	Coventry	http://www.isuresults.com/bios/isufs00006104.htm	Elliot	HILTON
Daniel KING	GBR	1991-08-28	NA	174	Bradford	student	warhammer, computer games	2001	Bradford Ice Skating Club	Uri Brekhov	Uri Brekhov	NA	15	Bradford	15	Bradford	http://www.isuresults.com/bios/isufs00009588.htm	Daniel	KING
Harry MATTICK	GBR	1993-12-20	Bradford	175	Bradford	athlete	studying Japanese	2001	ISS Coventry	Richard Beamish	Emma Davies	Igor Novodran, Debbie Watson, Susan Hughes	30	Coventry	30	Coventry	http://www.isuresults.com/bios/isufs00010127.htm	Harry	MATTICK
Jack NEWBERRY	GBR	1995-05-01	Hershey USA	172	London	student	playing piano, reading, target shooting	1997	NA	Christian Newberry	NA	NA	19	London	19	London	http://www.isuresults.com/bios/isufs00013685.htm	Jack	NEWBERRY
Graham NEWBERRY	GBR	1998-06-07	Hershey USA	162	London	student, athlete	target shooting, XBox	2000	Lee Valley London	Christian Newberry	Christian Newberry, Graham Newberry	NA	22	Lee Valley	22	Lee Valley	http://www.isuresults.com/bios/isufs00014165.htm	Graham	NEWBERRY
Matthew PARR	GBR	1990-03-01	Newcastle	180	Dundee	athlete	soccer, tennis, movies, TV, music	1997	Dundee Ice Skating Club	Debi Briggs, Simon Briggs	John Kerr, Mark Hanretty	Joy Sutcliffe	22	Dundee	20	Dundee	http://www.isuresults.com/bios/isufs00007198.htm	Matthew	PARR
Charlie PARRY-EVANS	GBR	1995-04-09	London	182	Nottingham	student, coach	soccer, darts, socialising, gaming	2002	Nottingham NIC	Joy Sutcliffe, Gurgen Vardanjan	Jeranak Ipakjan	NA	18	Nottingham	18	Nottingham	http://www.isuresults.com/bios/isufs00011686.htm	Charlie	PARRY-EVANS
Thomas PAULSON	GBR	1987-12-28	Derby	166	Nottingham	athlete	photography	1999	National Ice Centre Nottingham	Karen Goodwin	Tatiana Tretiakova, Thomas Paulson	NA	25	Nottingham	25	Nottingham	http://www.isuresults.com/bios/isufs00007199.htm	Thomas	PAULSON
David RICHARDSON	GBR	1987-08-18	Newcastle	175	Nottingham	full-time athlete	swimming, movies, music, friends	1995	NIC Nottingham	Joy Sutcliffe, Gurgen Vardanjan	Tatiana Tretiakova	Juri Bureiko, Marina Serova, Allan Doran	26	Nottingham	18	Nottingham	http://www.isuresults.com/bios/isufs00006103.htm	David	RICHARDSON
Alan STREET	GBR	1982-04-17	Bradford	NA	Blackburn	Full-time athlete	football, swimming, music, dancing	1988	Centrum Arena	Joy Sutcliffe	Joy Sutcliffe	NA	16	Ayr	25	Ayr	http://www.isuresults.com/bios/isufs00000119.htm	Alan	STREET
Jason THOMPSON	GBR	1989-11-13	Mansfield	183	Sheffield	coach, event steward	tennis, airsoft, cars, computers	1997	Ice Sheffield	Dawn Peckett	Dawn Peckett	Yuri Bureiko	12	Shefflied	24	Sheffield	http://www.isuresults.com/bios/isufs00007656.htm	Jason	THOMPSON
Jamie WHITEMAN	GBR	1994-12-24	Mansfield	180	Huthwaite	student, athlete	music, movies, socialising	2002	Hull Ice Rink	Karen Goodwin	NA	Gurgen Vardanjan	15	Hull	15	Hull	http://www.isuresults.com/bios/isufs00011670.htm	Jamie	WHITEMAN
Alexander WILDE	GBR	1986-06-09	Slitton	NA	Nottingham	full time athlete	power kyting	1987	National Ice Centre Nottingham	Karen Fletcher, Joy Sutcliff	Tatiana Wood	Yuri Bureiko	15	Nottingham	18	Nottingham	http://www.isuresults.com/bios/isufs00006655.htm	Alexander	WILDE
Neil WILSON	GBR	1978-06-26	Belfast	175	Vancouver (CAN)	Full time athlete	watching movies, reading, rollerblading	NA	NA	Joanne McLeod	Joanne McLeod	Kevin Bursey, Philip and Sue Walsh	18	Vancouver (CAN)	18	Vancouver (CAN)	http://www.isuresults.com/bios/isufs00000304.htm	Neil	WILSON
Jamie WRIGHT	GBR	1992-04-22	NA	NA	Glasgow	student	skating, arts, movies	2002	East Kilbride	Yvonne Cameron	NA	NA	25	East Kilbride	25	East Kilbride	http://www.isuresults.com/bios/isufs00011989.htm	Jamie	WRIGHT
Zeus ISSARIOTIS	GRE	1981-06-26	Toronto, CAN	172	Athens, GRE	Musician	NA	NA	NA	Alexander Ouriachev	Clarence Ford, Sebastien Britten	G. Zenkovitch, K. Papafoliou, D. Leigh, R. O'Toole	25	Toronto CAN	25	Toronto CAN	http://www.isuresults.com/bios/isufs00002171.htm	Zeus	ISSARIOTIS
Panagiotis MARKOUIZOS	GRE	1980-08-13	Athens	180	Toronto	Student	sumo, yoga, poetry, golf, opera	1989	Flying Ice Skaters Athens	Konstantin Kokora, Anna Chatziathanassiou	NA	Katerina Papafotiou, Vladimir Kovalev	NA	Toronto (CAN)	15	Toronto (CAN)	http://www.isuresults.com/bios/isufs00003186.htm	Panagiotis	MARKOUIZOS
Wayne Wing Yin CHUNG	HKG	1996-07-08	Vancouver CAN	172	Hong Kong	student	soccer, reading, movies	2002	Coquitlam SC	Bruno Delmaestro, Kelly Champagne	Elvin Wong	Yu Wang, Edmond Tang	9	Vancouver/CAN	9	Vancouver/CAN	http://www.isuresults.com/bios/isufs00013444.htm	Wayne Wing Yin	CHUNG
Leslie IP	HKG	1995-08-16	East York CAN	170	Markham, ON	student	cycling, video games, sports	2001	NA	Katerina Papafotiou	Jaimie Forsythe, Jeffrey Buttle	NA	22	Thornhill/CAN	22	Thornhill/CAN	http://www.isuresults.com/bios/isufs00034393.htm	Leslie	IP
Ronald LAM	HKG	1991-02-13	Hong Kong	183	Coquitlam CAN	student	cycling, snowboarding	1999	Coquitlam SC	Bruno Delmaestro, Kelly Champagne	Mark Pillay	NA	22	Coquitlam/CAN	22	Coquitlam/CAN	http://www.isuresults.com/bios/isufs00009721.htm	Ronald	LAM
Harry Hau Yin LEE	HKG	1994-06-08	Hong Kong	180	Hong Kong	high school student	computer games, hip hop dancing	2000	NA	Zhaoxiao Xu, Tse Ching Lee	Tse Ching Lee	Ying Zhao, Brian Chan	NA	NA	13	NA	http://www.isuresults.com/bios/isufs00012566.htm	Harry Hau Yin	LEE
Kwun Hung LEUNG	HKG	1992-01-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00013589.htm	Kwun Hung	LEUNG
Tatsuya TANAKA	HKG	1988-10-27	Taipei (TPE)	175	Toykoi (JPN)	student	shopping, dancing	1996	NA	Koji Okajima, Yutaka Higuchi, Hanae Yokoya	Noriko Sato	Mariko Yoshida, Mariko Suga	12	Tokyo	12	Tokyo	http://www.isuresults.com/bios/isufs00006443.htm	Tatsuya	TANAKA
Hon Lam TO	HKG	1992-07-23	Hong Kong	172	Hong Kong	student	football	1998	MIX World Arena	Lu Chen, Denis Petrov	NA	NA	11	Shenzhen/CHN	19	Shenzhen/CHN	http://www.isuresults.com/bios/isufs00010601.htm	Hon Lam	TO
Lap Kan YUEN	HKG	1996-01-16	Hong Kong	158	Hong Kong	student	soccer, running, movies	1999	NA	Ying Zhao	Jia Qi	NA	5	Hong Kong	5	Hong Kong	http://www.isuresults.com/bios/isufs00012186.htm	Lap Kan	YUEN
Krisztian ANDRASKA	HUN	1992-02-22	Paszto	168	Budapest	NA	go-kart driving, poker, music	1997	NA	Jeranjak Ipakjan	Jeranjak Ipakjan	NA	22	Budapest	18	Budapest	http://www.isuresults.com/bios/isufs00010540.htm	Krisztian	ANDRASKA
Gyorgy BECK	HUN	1988-10-23	Budapest	170	Budapest	student	jet skiing	1994	Spartacus Budapest	Gabor Vida, Zoltan K�szegi	Gabor Vida	NA	30	Ersekujvar, Csikszereda	16	Budapest	http://www.isuresults.com/bios/isufs00007364.htm	Gyorgy	BECK
Mate BOROCZ	HUN	1999-05-06	Budapest	182	Budapest	high school student	watching TV, music	2003	Sportland SC Budapest	Gayaneh Akopian	Kristof Forgo	NA	18	Budapest	16	Budapest	http://www.isuresults.com/bios/isufs00054499.htm	Mate	BOROCZ
Alexander BOROVOJ	HUN	1999-06-28	Budapest	176	Budapest	student	piano, bowling, billiards	2004	Sebestyen SC	Julia Gor-Sebestyen	Julia Gor-Sebestyen, Attila Elek	Jeranak Ipakjan	25	Budapest, Chicago/USA	25	Budapest	http://www.isuresults.com/bios/isufs00014590.htm	Alexander	BOROVOJ
Andras CSERNOCH	HUN	1998-07-29	Debrecen	165	Debrecen	pupil	bikes, reading, computer games	2005	DSC-SI Debrecen	Tigran Vardanjan, Gyjörgyi Gyulai	NA	NA	15	in France	16	Debrecen	http://www.isuresults.com/bios/isufs00014521.htm	Andras	CSERNOCH
Kristof FORGO	HUN	1993-12-07	Kazincbarcika	177	Budapest	student	music, modern dance	1998	Jegcsillag Budapest	Zsofia Kulcsar, Zoltan Toth	Kristof Forgo, Zoltan Toth	Istvan Simon, Szabolcs Vidrai	15	Kosice/SVK, Budapest	15	Budapest	http://www.isuresults.com/bios/isufs00011479.htm	Kristof	FORGO
Marton MARKO	HUN	1988-12-07	Budapest	187	Budapest	student	poker	1991	BP Vasas SC	Ildiko Magyar	NA	Andras Szaraz, Gayane Akopjan	22	Budapest	19	Budapest	http://www.isuresults.com/bios/isufs00009760.htm	Marton	MARKO
Alexander MASZLJANKO	HUN	1998-04-09	Budapest	175	Budapest	high school student	computer, aquaristics, diving	2004	UTE Budapest	Gayane Akopyan	Nora Hoffmann, Gayane Akopyan	NA	18	Budapest	18	Budapest	http://www.isuresults.com/bios/isufs00034287.htm	Alexander	MASZLJANKO
Balaz NAGY	HUN	1998-07-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00015122.htm	Balaz	NAGY
Zoltan TOTH	HUN	1979-08-24	Debrecen	185	Budapest	athlete	fishing	1988	Jegcsillag SC Budapest	Zsofia Kulcsar	Eduard Smirnov, Istvan Boros	Andras Szaraz	NA	Newington USA, Budapest HUN	NA	Budapest HUN	http://www.isuresults.com/bios/isufs00000060.htm	Zoltan	TOTH
Tigran VARDANJAN	HUN	1989-03-26	Moscow RUS	183	Budapest HUN	student, athlete	cars, D.J., go-cart races, mixing in clubs	1996	NA	Jeranjak Ipakjan, Gurgen Vardanjan	Jeranjak Ipakjan	NA	16	Nottingham/GBR	14	Budapest	http://www.isuresults.com/bios/isufs00007224.htm	Tigran	VARDANJAN
Bertalan ZAKANY	HUN	1984-01-19	Miskolc	181	Tiszaujvaros	student	football	1993	Tiszaujvarosi Sport Club	Zoltan Köszegi	Nora Hoffmann	Gurgen Vardanjan	NA	NA	21	Evsek�jvar	http://www.isuresults.com/bios/isufs00004599.htm	Bertalan	ZAKANY
Andrew FERNANDES	IND	1993-08-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00009701.htm	Andrew	FERNANDES
Amar MEHTA	IND	1990-11-19	Staten Island USA	171	Bear USA	student	novel writing, chess, swordplay	1998	NA	Jeff Digregorio, Scott Gregory	Olga Mudrak	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00009835.htm	Amar	MEHTA
Nikhil PINGLE	IND	1999-06-29	Nashik	171	Hyderabad	high school student	music, soccer	2013	NA	Alexei Federov	Alexei Federov, Maria Safanova	NA	10	Hyderabad	6	Bangkok and other places	http://www.isuresults.com/bios/isufs00014588.htm	Nikhil	PINGLE
Dwiki Eka RAMADHAN	INA	1997-01-26	Jakarta	173	Jakarta	student	skating, reading, running	2007	BX Rink Tangerang	Johny Sesanto	Bong Agus Nugroho	NA	16	Tangerang	16	Tangerang	http://www.isuresults.com/bios/isufs00054528.htm	Dwiki Eka	RAMADHAN
Vivian John PARNELL-MURPHY	IRL	1990-09-26	Slough GBR	170	Slough GBR	student	reading, singing, socialising	1995	Slough	Jackie Sanders	Jackie Sanders	NA	25	Slough/GBR	25	Slough/GBR	http://www.isuresults.com/bios/isufs00012140.htm	Vivian John	PARNELL-MURPHY
Conor STAKELUM	IRL	1993-08-03	Dublin	180	Dundee GBR	student (microbiology)	reading, running, swimming	2007	NA	Simon Briggs, Debi Briggs	Andrew Smith	Caroline Gill, Chynna Pope	28	Dundee/GBR	28	Dundee/GBR	http://www.isuresults.com/bios/isufs00054307.htm	Conor	STAKELUM
Vadim AKOLZIN	ISR	1982-10-19	Tver (RUS)	175	Metulla	student	cars, reading	1987	Canada Centre, Metulla	Tatiana Stolina	NA	Larisa Yakovleva	24	Metulla	22	Metulla	http://www.isuresults.com/bios/isufs00004541.htm	Vadim	AKOLZIN
Alexei BYCHENKO	ISR	1988-02-05	Kiev UKR	174	Hackensack USA	athlete	partying, music, sports, travelling	1993	Israel ISF	Galit Chait Moracci, Roman Serov, Nikolai Morozov	Galit Chait Moracci	Craig Maurizi, Vakhtang Murvanidze, Galina Kukhar, Elena Amosova	27	Hackensack/USA	21	Hackensack/USA	http://www.isuresults.com/bios/isufs00007020.htm	Alexei	BYCHENKO
Mark GORODNITSKY	ISR	2001-03-23	Richmond Hill CAN	159	Richmond Hill CAN	student	scuba diving, downhill skiing, paintball, reading	2005	Richmond Training Center	Andrei Berezintsev, Inga Zusev	Andrei Berezintsev	NA	29	Richmond Hill/CAN	24	Richmond Hill/CAN	http://www.isuresults.com/bios/isufs00035210.htm	Mark	GORODNITSKY
Sergei KOTOV	ISR	1985-04-06	Odessa (UKR)	175	Haifa	student	football, computers, partying	1990	Haifa SC	Tatiana Stolin	NA	NA	22	Metulla, Celje (SLO)	25	Metulla	http://www.isuresults.com/bios/isufs00004540.htm	Sergei	KOTOV
Evgeni KRASNAPOLSKI	ISR	1988-10-04	Kiev UKR	189	Metulla	student	tennis, computers	1996	Stars on Ice Kiryat Shmona	Klara Belousovski, Alfred Korytek	Klara Belousovski	Tatiana Stolin, Leonid Birenberg	10	Metulla	30	Metulla	http://www.isuresults.com/bios/isufs00006400.htm	Evgeni	KRASNAPOLSKI
Nazar MAHMUD	ISR	1988-02-18	in USSR	NA	Metulla	student	Metulla	NA	Metulla	Tatiana Stolin	Maria Tumanovskaia	NA	NA	Canada Centre Metulla	NA	Canada Centre Metulla	http://www.isuresults.com/bios/isufs00006290.htm	Nazar	MAHMUD
Stanislav SAMOHIN	ISR	1990-09-14	Moscow RUS	NA	Lake Arrowhead USA	NA	skiing, wake-boarding, video games, reading,	1998	NA	Igor Samohin, Igor Pashkevich	Irina Samohin	Eteri Tutberidze	28	Ontario/USA	22	Ontario/USA	http://www.isuresults.com/bios/isufs00013145.htm	Stanislav	SAMOHIN
Daniel SAMOHIN	ISR	1998-03-12	Tel Aviv	176	Lake Arrowhead USA	athlete, student	collecting model cars, karate, wake boarding, snow boarding	2003	Israel ISF	Igor Samohin	Irina Samohin	Igor Pashkevich	24	Yorba Linda/USA	18	Yorba Linda/USA	http://www.isuresults.com/bios/isufs00034509.htm	Daniel	SAMOHIN
Roman SEROV	ISR	1976-12-16	Moscow, RUS	176	Metulla, ISR	NA	tennis	NA	NA	Ari Zakarian	Lori Nichol SP, Lea Ann Miller FS, P. Tchernyshev	Craig Maurizi, Viktor Kudriavtsev	14	Flims, SUI	18	Hackensack, USA	http://www.isuresults.com/bios/isufs00001880.htm	Roman	SEROV
Maxim SHIPOV	ISR	1987-10-05	Moscow RUS	167	Moscow RUS, Metulla	student	reading	1992	Kochavim on the ice, Kiryat Shmona	Elena Tchaikovskaia, Vladimir Kotin	Alexander Rikov	Marina Kudriavtseva, Igor Rusakov	20	Moscow and Sochi/RUS	22	Moscow/RUS	http://www.isuresults.com/bios/isufs00009030.htm	Maxim	SHIPOV
Michael SHMERKIN	ISR	1970-02-05	Odessa, UKR	168	Metulla, ISR	NA	table tennis, dance, computer	1974	Canada Centre, Metulla, ISR	Valentin Nikolaev	NA	S. Rozanski, B. Skotnicky, I. Ksenofontov	30	Richmond (USA)	30	Richmond (USA)	http://www.isuresults.com/bios/isufs00000247.htm	Michael	SHMERKIN
Yan TALES	ISR	1990-03-05	Odessa UKR	NA	Metulla	student	computers, music	1998	Canada Centre Metulla	Tatiana Stolin	NA	NA	35	Metulla	40	Metulla	http://www.isuresults.com/bios/isufs00007886.htm	Yan	TALES
Artem TSOGLIN	ISR	1997-11-01	Kharkov UKR	172	in Israel	student	sports, hanging out with friends	2004	Israel ISF	Galit Chait Moracci, Roman Serov	Galit Chait Moracci	NA	NA	Hackensack/USA	NA	Hackensack/USA	http://www.isuresults.com/bios/isufs00013641.htm	Artem	TSOGLIN
Filippo AMBROSINI	ITA	1993-04-26	Asiago	184	Asiago	student	NA	2000	Forum Assago Milan	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00010686.htm	Filippo	AMBROSINI
Paolo BACCHINI	ITA	1985-08-16	Milano	170	Cavalese	student, policeman	handball, reading	1994	GSM Fiamme Oro	Peter Grütter	Raffaella Cazzaniga, Corrado Giordani, S. Brunner	Joanna Szczypa, Pierre Trente, Karin Teuser	32	Oberstdorf/GER	26	Geneva/SUI	http://www.isuresults.com/bios/isufs00004303.htm	Paolo	BACCHINI
Adrien BANNISTER	ITA	1999-09-18	Sesto San Giovanni	173	Sesto San Giovanni	student	tennis, mountain biking, music, go-karting, swimming	2004	Icelab Bergamo	Rosanna Murante, Franca Bianconi	Massimo Scali, Corrado Giordani	NA	30	Andalo, Montreal/CAN	22	Sesto San Giovanni	http://www.isuresults.com/bios/isufs00014248.htm	Adrien	BANNISTER
Dario BETTI	ITA	1991-06-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00034474.htm	Dario	BETTI
Samuel CONTESTI	ITA	1983-03-04	Le Havre FRA	181	Courmayeur	student	soccer, golf, dogs, nature, music	1987	Courmayeur SC	Geraldine Zulini, Peter Gruetter	Pasquale Camerlengo, Geraldine Zulini	Didier and Claudine Lucine, S. Golaz, J. Moyencourt	30	Pinzolo	30	Courmayeur	http://www.isuresults.com/bios/isufs00005918.htm	Samuel	CONTESTI
Mattia DALLA TORRE	ITA	1996-09-29	Borgo Valsugana	180	Strigno	student	swimming, chatting, dancing, socializing	2006	Pine FSC	Debora Savaris	Giancarlo Semplicini	NA	20	Baselga di Pine, Fuessen/GER	16	Baselag di Pine	http://www.isuresults.com/bios/isufs00013921.htm	Mattia DALLA	TORRE
Daniel D'INCA	ITA	1984-05-12	Belluno	180	Belluno	student	NA	1989	Ice Academy	Pierre Trente	Luca Mantovani, Nina Petrenko	Vadim Radzevich	32	Simsbury (USA), Courchevel (FRA)	21	Paris (FRA)	http://www.isuresults.com/bios/isufs00004172.htm	Daniel	D'INCA
Ruben ERRAMPALLI	ITA	1990-04-09	Columbia USA	175	Merano	student	reading, playing square flute, wind surfing	1998	Sport Club Merano	Eva Sonnleitner	Corrado Giordani	Friedrich Juricek	NA	Merano and Courchevel/FRA	20	Merano	http://www.isuresults.com/bios/isufs00007686.htm	Ruben	ERRAMPALLI
Marco FABBRI	ITA	1988-02-02	Milano	165	Milano	student	sports, music, friends	1995	Forum Milano	Lucia Civardi	Nicoletta Lunghi	NA	25	Courchevel FRA and Geneva SUI	13	Milano	http://www.isuresults.com/bios/isufs00006479.htm	Marco	FABBRI
Alessandro FADINI	ITA	1998-05-04	Verona	178	Verona	high school student	music, dance, airplanes	2007	Young Goose Academy, Egna Bolzano	Silvia Martini	Lorenzo Magri, Stephane Lambiel	NA	30	Egna, Fondo, Madrid/ESP	25	Egna	http://www.isuresults.com/bios/isufs00014249.htm	Alessandro	FADINI
Saverio GIACOMELLI	ITA	1993-06-07	Trento	173	Vigolo Vattaro	student	playing the guitar	1997	Circolo Pattinatori Artistici Trento	Gabriele Minchio	Gabriele Minchio, Riccardo Marelli	NA	19	Newark USA, Oberstdorf GER, Baselga di Pine ITA	18	Trento	http://www.isuresults.com/bios/isufs00010514.htm	Saverio	GIACOMELLI
Ondrej HOTAREK	CZE	1984-01-25	Brno CZE	182	Sesto San Giovanni	full-time athlete	snowboarding, volleyball, reading	1989	Sesto Ice Skate	Alena Knothova	Hanna Charvatova, Ivan Rezek	Miroslava Hajkova	20	Brno	16	Brno	http://www.isuresults.com/bios/isufs00005340.htm	Ondrej	HOTAREK
Yannick KOCON	FRA	1986-08-20	Evry	171	St Fargeau	student	music, literature	1995	PAAP Athis-Paray	Katia Krier-Beyer	Stanick Jeannette, Katia Krier-Beyer	Alain Gilletti	22	Montpellier	23	Paris Bercy	http://www.isuresults.com/bios/isufs00007450.htm	Yannick	KOCON
Fabio MASCARELLO	ITA	1983-09-10	Milano	171	Milano	NA	internet	1990	Ice Accademy Milano	Gilberto Viadana	Michela Boschetto	NA	23	NA	23	Milano	http://www.isuresults.com/bios/isufs00003254.htm	Fabio	MASCARELLO
Carlo Vittorio PALERMO	ITA	1996-03-14	Trento	172	Trento	student	skating, studying	1998	Young Goose Academy Egna	Lorenzo Magri, Silvia Martina	Lorenzo Magri, David Wilson	Gabriele Minchio	36	Toronto/CAN, Egna	27	Egna	http://www.isuresults.com/bios/isufs00013413.htm	Carlo Vittorio	PALERMO
Antonio PANFILI	ITA	1993-11-27	Venice	170	Noale (Venice)	student	computer, reading	2000	Ice Club Torino	Claudia Masoero, Edoardo de Bernardis	Edoardo de Bernardis	Marina Barolo	24	Pinerolo, Basegla di Pine, Asiago	21	Pinerolo	http://www.isuresults.com/bios/isufs00011659.htm	Antonio	PANFILI
Paul Bonifacio PARKINSON	ITA	1991-02-16	Ottawa CAN	163	Ottawa CAN	athlete	video games, working out, dance/electronic music	2002	Forum SSDRL Assago	Becky Calvin, Tom Zakrajsek, Doug Leigh	Jeffrey Buttle	Leonid Birinberg, Andrew Bestwick	20	Colorado Springs/USA, Barrie/CAN	18	Colorado Springs/USA	http://www.isuresults.com/bios/isufs00012493.htm	Paul Bonifacio	PARKINSON
Alessandro PEZZOLI	ITA	1994-12-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00012494.htm	Alessandro	PEZZOLI
Ivan RIGHINI	ITA	1991-06-16	Moscow RUS	177	Oberstdorf GER	student	active sports, movies, music, dancing, poker, fashion	1997	Forum Assago	Michael Huth, D. Gleikhengauz	J. Buttle, R. Sinicyn, A. Zhulin, S. Petukhov	Igor Pashkevitch, Oleg Vasiliev, Nikolai Morozov, Marina Kudriavtseva	30	Moscow/RUS, Oberstdorf/GER and in Italy	28	Oberstdorf/GER	http://www.isuresults.com/bios/isufs00009842.htm	Ivan	RIGHINI
Matteo RIZZO	ITA	1998-09-05	Rome	170	Sesto San Giovanni	student	planes, cars, cooking	2006	Icelab Bergamo	Franca Bianconi, Valter Rizzo	Corrado Giordano, Massimo Scali, V. Murvanidze	Angela Puglisi, Ilaria Ponti	28	Oberstdorf/GER, Asiago, Andalo	28	Sesto San Giovanni	http://www.isuresults.com/bios/isufs00013919.htm	Matteo	RIZZO
Giorgio SETTEMBRINI	ITA	1996-03-30	Alzano Lombardo	178	Grassobbio	NA	NA	NA	Forum Assago Milan	Cristina Mauri, Fabio Mascareno	Raffaella Cazzaniga, Corrado Giordani	NA	30	Courchevel/FRA	18	Milan	http://www.isuresults.com/bios/isufs00012495.htm	Giorgio	SETTEMBRINI
Maurizio ZANDRON	ITA	1992-11-15	Bolzano	180	Bolzano	student	computer, dancing	2000	Bolzano SC	Cristina Mauri	Andrea Vaturi, Antoaneta Plamenova	Viktoria Andreeva, Melita Dona, Gabriele Minchio	20	Bolzano, Merano	20	Bolzano, Merano	http://www.isuresults.com/bios/isufs00009567.htm	Maurizio	ZANDRON
Marco ZANDRON	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00013922.htm	Marco	ZANDRON
Karel ZELENKA	ITA	1983-03-31	Louny, Czech Republic	175	Milan	Full time athlete	music, cinema, cars	1988	Agora Skating Team	Karel Zelenka sen.	Barbara Melica	NA	24	Toronto/CAN, Courmayeur	19	Milan	http://www.isuresults.com/bios/isufs00002385.htm	Karel	ZELENKA
Yuzuru HANYU	JPN	1994-12-07	Sendai	171	Sendai	university student	music	1998	Toronto Cricket Skating & Curling Club	Brian Orser, Tracy Wilson	Jeffrey Buttle, Shae-Lynn Bourne	Nanami Abe, Shoitirou Tuzuki	14	Toronto/CAN	12	Toronto/CAN	http://www.isuresults.com/bios/isufs00010967.htm	Yuzuru	HANYU
Ryuju HINO	JPN	1995-02-12	Tokyo	173	Nagoya	student	watching movies	2001	Chukyo University	Hiroshi Nagakubo, Yoriko Naruse, Miho Kawaume	N. Bestemianova, I. Bobrin, K. Miyamoto	Tokuji Oyama	25	Nagoya	25	Nagoya	http://www.isuresults.com/bios/isufs00010969.htm	Ryuju	HINO
Takeshi HONDA	JPN	1981-03-23	Koriyama, Fukushima	168	Barrie (CAN)	Full Time Athlete	books, billard	1990	NA	Douglas Leigh, Michelle Leigh	Nikolai Morozov	Galina Zmievskaya, Hiroshi Nagakubo	16	Barrie, Mariposa School of Skating, CAN	16	Barrie, Mariposa School of Skating, CAN	http://www.isuresults.com/bios/isufs00000306.htm	Takeshi	HONDA
Taichi HONDA	JPN	1998-08-02	Kyoto	167	Kyoto	student	reading	2003	Kansai University SC, Osaka	Mie Hamada, Yamoto Tamura	Tom Dickson, Jamie Isley	Y. Matsuda, H. Okamoto, Yoko Niino	50	Osaka	50	Osaka	http://www.isuresults.com/bios/isufs00054297.htm	Taichi	HONDA
Fumiya ITAI	JPN	1992-06-11	Tokyo	161	Tokyo	student	music, playing video games	2000	Citizen Ice Skate Rink	Masae Yamamoto	Masahiro Kawagoe	NA	21	Tokyo	23	Tokyo	http://www.isuresults.com/bios/isufs00011883.htm	Fumiya	ITAI
Kento KAJITA	JPN	1996-07-12	Tokyo	168	Tokyo	high school student	movies	2003	Meidai Fuzoku Nakano Koukou	Yukiyasu Oishi	Naoki Shigematsu	Masahiro Kawagoe	7	Tokyo	7	Tokyo	http://www.isuresults.com/bios/isufs00013832.htm	Kento	KAJITA
Hidetsugu KAMATA	JPN	1997-02-02	Tokyo	160	Tokyo	university student	playing the piano	2002	Citizen Club Takadanobaba Tokyo	Masahiro Kawagoe	Masahiro Kawagoe	NA	36	Tokyo	36	Tokyo	http://www.isuresults.com/bios/isufs00013834.htm	Hidetsugu	KAMATA
Noriyuki KANZAKI	JPN	1982-12-12	Nagoya	174	Osaka	student	studying Korean	1989	Kyoto University	Mie Hamada, Yamoto Tamura	Mie Hamada, Tom Dickson	NA	18	Osaka	20	Kyoto	http://www.isuresults.com/bios/isufs00006687.htm	Noriyuki	KANZAKI
